City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kruisfontein,ZA,2021-07-22 08:13:29,-34.0033,24.7314,42.89,69,100,24.2
1,Cidreira,BR,2021-07-22 08:13:29,-30.1811,-50.2056,52.86,73,3,5.14
2,Port Elizabeth,ZA,2021-07-22 08:13:30,-33.918,25.5701,46.69,87,75,20.71
3,Nova Odesa,UA,2021-07-22 08:13:30,47.3078,31.7851,76.19,50,58,19.75
4,Kodino,RU,2021-07-22 08:13:31,63.7198,39.6447,51.1,86,100,3.24
5,Tasiilaq,GL,2021-07-22 08:13:31,65.6145,-37.6368,44.76,98,100,12.26
6,Slave Lake,CA,2021-07-22 08:13:31,55.2834,-114.769,55.18,99,100,2.19
7,Zhigansk,RU,2021-07-22 08:13:32,66.7697,123.3711,70.52,42,100,6.06
8,Kapaa,US,2021-07-22 08:13:32,22.0752,-159.319,79.12,80,90,1.99
9,Dargaville,NZ,2021-07-22 08:13:33,-35.9333,173.8833,53.1,89,93,4.09
10,Souillac,MU,2021-07-22 08:13:33,-20.5167,57.5167,75.36,65,29,17.63
11,Punta Arenas,CL,2021-07-22 08:13:33,-53.15,-70.9167,37.51,93,75,6.91
12,Butaritari,KI,2021-07-22 08:13:34,3.0707,172.7902,83.59,75,13,11.95
13,Svetlaya,RU,2021-07-22 08:12:11,46.5389,138.3297,74.19,83,100,9.08
14,Bom Jesus,BR,2021-07-22 08:13:34,-9.0744,-44.3586,67.32,69,2,3.96
15,Colon,PA,2021-07-22 08:13:35,9.3592,-79.9014,81.14,88,100,5.99
16,Jamestown,US,2021-07-22 08:13:35,42.097,-79.2353,56.84,95,20,1.99
17,Vaini,TO,2021-07-22 08:13:35,-21.2,-175.2,73.56,88,20,5.75
18,Chokurdakh,RU,2021-07-22 08:13:36,70.6333,147.9167,52.3,65,100,8.3
19,Hermanus,ZA,2021-07-22 08:08:40,-34.4187,19.2345,47.89,68,97,10.45
20,Busselton,AU,2021-07-22 08:13:36,-33.65,115.3333,57.04,70,99,10.07
21,Guerrero Negro,MX,2021-07-22 08:13:37,27.9769,-114.0611,68.95,87,7,8.28
22,Granja,BR,2021-07-22 08:13:37,-3.1203,-40.8261,71.38,76,32,5.26
23,Raga,SS,2021-07-22 08:13:38,8.4596,25.678,76.17,75,99,3.4
24,Oksfjord,NO,2021-07-22 08:13:38,70.2396,22.3479,46.47,97,100,11.92
25,Bemidji,US,2021-07-22 08:13:38,47.4736,-94.8803,70.09,98,75,8.05
26,Foam Lake,CA,2021-07-22 08:13:39,51.65,-103.5343,63.25,94,29,8.1
27,Mataura,NZ,2021-07-22 08:13:39,-46.1927,168.8643,43.48,97,27,2.8
28,Pemangkat,ID,2021-07-22 08:13:40,1.1667,108.9667,85.35,71,82,12.17
29,Longyearbyen,SJ,2021-07-22 08:13:40,78.2186,15.6401,44.44,70,75,4.61
30,Hithadhoo,MV,2021-07-22 08:13:41,-0.6,73.0833,81.97,74,97,11.72
31,Albany,US,2021-07-22 08:13:41,42.6001,-73.9662,58.87,95,2,4.32
32,Ushuaia,AR,2021-07-22 08:13:41,-54.8,-68.3,36.01,98,100,6.2
33,Marawi,PH,2021-07-22 08:13:42,7.9986,124.2928,77.25,69,100,8.08
34,Vardo,NO,2021-07-22 08:13:42,70.3705,31.1107,46.6,76,75,16.11
35,Kant,IN,2021-07-22 08:13:43,27.8,79.8,94.21,53,99,9.55
36,Cape Town,ZA,2021-07-22 08:09:10,-33.9258,18.4232,52.11,79,86,1.99
37,Quatre Cocos,MU,2021-07-22 08:13:43,-20.2078,57.7625,75.09,68,89,18.34
38,Saint-Philippe,RE,2021-07-22 08:13:44,-21.3585,55.7679,76.59,71,40,15.37
39,Kysyl-Syr,RU,2021-07-22 08:13:44,63.8986,122.7617,79.48,43,59,7.99
40,Novoagansk,RU,2021-07-22 08:13:45,61.9449,76.6625,68.54,71,89,12.86
41,Linhares,BR,2021-07-22 08:13:45,-19.3911,-40.0722,59.86,95,3,2.73
42,Pachperwa,IN,2021-07-22 08:13:45,27.5167,82.65,93.58,58,96,11.14
43,Kaitangata,NZ,2021-07-22 08:13:46,-46.2817,169.8464,45.93,68,10,5.28
44,Hobart,AU,2021-07-22 08:10:16,-42.8794,147.3294,53.06,69,75,4.61
45,Pisco,PE,2021-07-22 08:13:46,-13.7,-76.2167,61.02,88,90,1.14
46,Cherskiy,RU,2021-07-22 08:13:47,68.75,161.3,61.25,56,100,7.09
47,San Patricio,US,2021-07-22 08:13:47,28.017,-97.5169,81.82,68,49,4.74
48,Newbury,GB,2021-07-22 08:08:54,51.4003,-1.3206,75.69,84,0,5.17
49,Bredasdorp,ZA,2021-07-22 08:13:48,-34.5322,20.0403,45.28,80,96,7.02
50,Bambous Virieux,MU,2021-07-22 08:13:48,-20.3428,57.7575,75.22,68,82,18.52
51,Georgetown,MY,2021-07-22 08:13:49,5.4112,100.3354,91.33,66,20,16.11
52,Mar Del Plata,AR,2021-07-22 08:13:49,-38.0023,-57.5575,49.12,51,100,11.99
53,Henties Bay,NA,2021-07-22 08:13:50,-22.116,14.2845,63.16,50,0,4.61
54,Abyek,IR,2021-07-22 08:13:50,36.0667,50.55,96.46,14,0,10.78
55,Salalah,OM,2021-07-22 08:13:51,17.0151,54.0924,82.49,83,75,13.8
56,Saldanha,ZA,2021-07-22 08:13:51,-33.0117,17.9442,50.13,69,100,4.38
57,Cabo San Lucas,MX,2021-07-22 08:11:28,22.8909,-109.9124,82.81,75,0,1.99
58,Bilibino,RU,2021-07-22 08:13:52,68.0546,166.4372,66.63,30,62,5.79
59,Codrington,AU,2021-07-22 08:13:52,-38.2667,141.9667,48.27,62,100,13.29
60,Anori,BR,2021-07-22 08:13:52,-3.7728,-61.6442,72.32,89,3,0.92
61,Sao Joao Da Barra,BR,2021-07-22 08:13:53,-21.6403,-41.0511,61.61,88,7,5.32
62,Provideniya,RU,2021-07-22 08:13:53,64.3833,-173.3,43.36,76,100,1.57
63,Avarua,CK,2021-07-22 08:13:54,-21.2078,-159.775,71.65,94,5,1.14
64,Vidim,RU,2021-07-22 08:13:54,56.4088,103.1106,74.61,51,26,8.5
65,Yellowknife,CA,2021-07-22 08:13:54,62.456,-114.3525,62.33,93,60,8.01
66,Olinda,BR,2021-07-22 08:12:49,-8.0089,-34.8553,73.13,78,40,11.5
67,Padang,ID,2021-07-22 08:13:55,-0.9492,100.3543,86.07,64,84,5.88
68,Flinders,AU,2021-07-22 08:13:55,-34.5833,150.8552,57.2,52,95,1.01
69,Namibe,AO,2021-07-22 08:13:56,-15.1961,12.1522,76.08,37,0,3.42
70,Pichucalco,MX,2021-07-22 08:13:57,17.5167,-93.0667,72.99,85,3,3.22
71,San Vicente,AR,2021-07-22 08:13:57,-26.6167,-54.1333,49.87,85,0,2.64
72,Sitka,US,2021-07-22 08:13:57,57.0531,-135.33,55.29,82,90,3.44
73,Kodiak,US,2021-07-22 08:13:58,57.79,-152.4072,53.15,95,100,8.32
74,Minab,IR,2021-07-22 08:13:58,27.1467,57.0801,99.9,55,0,6.64
75,Brae,GB,2021-07-22 08:13:59,60.3964,-1.353,53.51,85,100,12.66
76,Guiglo,CI,2021-07-22 08:13:59,6.5456,-7.4966,72.68,95,75,1.88
77,Chisinau,MD,2021-07-22 08:09:51,47.0056,28.8575,73.83,64,0,16.11
78,Aksu,CN,2021-07-22 08:14:00,41.1231,80.2644,66.74,77,99,0.04
79,Gorom-Gorom,BF,2021-07-22 08:14:00,14.4439,-0.2361,85.5,53,100,15.05
80,Rikitea,PF,2021-07-22 08:14:01,-23.1203,-134.9692,72.14,71,0,15.48
81,Barrow,US,2021-07-22 08:14:01,71.2906,-156.7887,35.62,93,90,16.11
82,Korfovskiy,RU,2021-07-22 08:14:01,48.2183,135.0564,87.26,62,91,4.18
83,Hirara,JP,2021-07-22 08:14:02,24.8,125.2833,81.7,91,100,56.01
84,Castro,BR,2021-07-22 08:14:02,-24.7911,-50.0119,45.23,63,0,3.04
85,Samana,DO,2021-07-22 08:14:03,19.2056,-69.3369,77.11,88,52,7.36
86,Otradnoye,RU,2021-07-22 08:14:03,59.7775,30.8181,67.55,48,99,12.33
87,Atuona,PF,2021-07-22 08:14:03,-9.8,-139.0333,77.4,69,89,14.16
88,Ribeira Grande,PT,2021-07-22 08:14:04,38.5167,-28.7,66.6,77,40,4.61
89,Clyde River,CA,2021-07-22 08:14:04,70.4692,-68.5914,37.13,96,100,2.17
90,Rawson,AR,2021-07-22 08:14:04,-43.3002,-65.1023,51.73,56,100,7.52
91,Broken Hill,AU,2021-07-22 08:14:05,-31.95,141.4333,43.21,71,92,20.65
92,Puerto Ayora,EC,2021-07-22 08:14:05,-0.7393,-90.3518,71.55,94,100,4.0
93,Qaanaaq,GL,2021-07-22 08:14:05,77.484,-69.3632,41.09,85,100,8.21
94,Vila Franca Do Campo,PT,2021-07-22 08:14:06,37.7167,-25.4333,66.61,78,99,7.2
95,Dikson,RU,2021-07-22 08:14:06,73.5069,80.5464,50.56,79,100,19.55
96,Saskylakh,RU,2021-07-22 08:14:07,71.9167,114.0833,71.31,40,100,16.69
97,Puerto Escondido,MX,2021-07-22 08:14:07,15.85,-97.0667,79.48,80,95,4.85
98,Mpulungu,ZM,2021-07-22 08:14:08,-8.7623,31.1141,81.57,37,15,3.11
99,Baykit,RU,2021-07-22 08:14:08,61.67,96.37,75.06,47,48,1.86
100,Bengkulu,ID,2021-07-22 08:14:08,-3.8004,102.2655,84.18,64,29,6.4
101,Pangnirtung,CA,2021-07-22 08:14:09,66.1451,-65.7125,40.44,88,99,5.26
102,Bud,US,2021-07-22 08:14:09,39.447,-86.1758,69.58,94,11,5.57
103,Faanui,PF,2021-07-22 08:14:10,-16.4833,-151.75,78.6,77,15,15.12
104,Terrak,NO,2021-07-22 08:14:10,65.087,12.3715,53.62,93,96,14.54
105,Kalabo,ZM,2021-07-22 08:14:10,-14.97,22.6814,71.38,17,0,10.11
106,Takoradi,GH,2021-07-22 08:14:11,4.8845,-1.7554,77.72,78,100,5.84
107,Altagracia De Orituco,VE,2021-07-22 08:14:11,9.8601,-66.3814,70.12,93,37,3.4
108,Santa Rosa,PH,2021-07-22 08:14:12,14.3122,121.1114,81.91,94,100,16.51
109,Saint George,US,2021-07-22 08:14:12,37.1041,-113.5841,84.63,50,1,1.01
110,Te Anau,NZ,2021-07-22 08:14:12,-45.4167,167.7167,39.0,93,19,0.54
111,Akmene,LT,2021-07-22 08:14:13,56.25,22.75,66.85,43,0,6.91
112,Rio Grande,BR,2021-07-22 08:14:13,-32.035,-52.0986,49.26,71,56,5.77
113,Hilo,US,2021-07-22 08:10:58,19.7297,-155.09,75.27,87,90,0.0
114,Nikolskoye,RU,2021-07-22 08:14:14,59.7035,30.7861,67.39,48,100,11.97
115,Malartic,CA,2021-07-22 08:14:14,48.1335,-78.1328,50.02,96,40,3.83
116,Narsaq,GL,2021-07-22 08:14:15,60.9167,-46.05,44.82,90,45,4.56
117,Torbay,CA,2021-07-22 08:14:15,47.6666,-52.7314,49.75,99,100,10.56
118,Tiksi,RU,2021-07-22 08:14:16,71.6872,128.8694,42.53,87,95,6.11
