City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
268,Makakilo City,US,78.57,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
269,Ransang,PH,81.52,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
272,Coron,PH,80.83,overcast clouds,11.9986,120.2043,Coron Westown Resort
278,Fare,PF,77.5,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
280,Kyzyl-Suu,KG,76.53,clear sky,42.3414,78.0056,Gostinitsa Nur-Ordo
281,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
282,Klyuchi,RU,89.02,clear sky,52.2667,79.1667,Vesolaya Mayovka
283,Kavaratti,IN,80.74,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
284,Presidencia Roque Saenz Pena,AR,78.06,clear sky,-26.7852,-60.4388,Hotel Gualok
285,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
286,Santa Ines,BR,84.56,broken clouds,-3.6667,-45.38,Palace hotel
288,Bengkulu,ID,79.38,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
291,Bakreswar,IN,89.82,overcast clouds,23.8833,87.3667,Bakreswar Youth Hostel
292,Kailua,US,80.58,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
293,Maues,BR,86.09,scattered clouds,-3.3836,-57.7186,Hotel Miramar
296,Sola,VU,79.61,scattered clouds,-13.8833,167.55,Leumerus Bungalows
305,Otopeni,RO,87.91,clear sky,44.55,26.0667,Hotel Charter Otopeni
306,Robertsport,LR,79.65,broken clouds,6.7533,-11.3686,Kwepunha Retreat
312,Isiro,CD,85.69,scattered clouds,2.7739,27.616,Guest House Hewa Bora
323,Roald,NO,80.17,few clouds,62.5833,6.1333,Flem Cabins
325,Ixtapa,MX,80.22,broken clouds,20.7,-105.2,Hotel Plaza Providencia
326,Lazaro Cardenas,MX,78.06,scattered clouds,17.9583,-102.2,quinta antigua
327,Jieshou,CN,79.66,overcast clouds,33.2634,115.3611,Vatica Jieshou City New Passenger Transport Center Hotel
330,Woodward,US,77.92,scattered clouds,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
331,Namatanai,PG,79.43,light rain,-3.6667,152.4333,Seagulls Inn Namatani
335,Wagrowiec,PL,85.08,overcast clouds,52.8084,17.1996,Hotel Pietrak
337,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
339,Poso,ID,77.54,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
340,Lorengau,PG,80.02,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
341,Maloy,NO,84.0,scattered clouds,61.9353,5.1136,Torget Hotell
344,Nha Trang,VN,89.6,scattered clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
349,Conde,BR,78.26,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
351,Shingu,JP,79.92,clear sky,33.7333,135.9833,Shingu UI Hotel
358,Bonthe,SL,80.69,light rain,7.5264,-12.505,Bonthe Holiday Village
359,Boa Vista,BR,76.98,light rain,2.8197,-60.6733,Aipana Plaza Hotel
362,Kirakira,SB,78.53,scattered clouds,-10.4544,161.9205,SanBiz Lodge
363,Barra Dos Coqueiros,BR,80.62,broken clouds,-10.9089,-37.0386,Jangadeiro
365,Ambilobe,MG,79.32,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
368,Huilong,CN,78.04,light rain,31.8111,121.655,Hilton Garden Inn Qidong
371,Asfi,MA,75.33,clear sky,32.2994,-9.2372,Hôtel Abda
372,New Iberia,US,81.05,clear sky,30.0035,-91.8187,La Quinta Inn & Suites by Wyndham New Iberia
374,Arrecife,ES,80.67,clear sky,28.963,-13.5477,Hotel Lancelot
375,Muros,ES,78.15,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
376,Vabalninkas,LT,80.47,clear sky,55.9667,24.75,Meldynas
377,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
379,Fukue,JP,81.18,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
381,Nishihara,JP,80.26,broken clouds,26.1842,127.7558,Minshuku Agaihama
382,Yushu,CN,76.55,moderate rain,44.8,126.5333,Honorable Institute
383,Muli,MV,81.81,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
386,Jiuquan,CN,75.0,light rain,39.7432,98.5174,Jiuquan Hotel
387,Asau,RO,81.52,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
388,Mikuni,JP,79.21,clear sky,36.2171,136.1519,Haiya
391,Isangel,VU,75.49,scattered clouds,-19.55,169.2667,Tanna Lodge
393,Katsuura,JP,82.11,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
394,Hasaki,JP,77.4,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
399,Seminole,US,83.07,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
402,Salinopolis,BR,83.68,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
404,Grindsted,DK,78.82,scattered clouds,55.754,8.9123,Huset B&B
405,Parainen,FI,81.99,broken clouds,60.3067,22.301,Hotell Kalkstrand
410,Ta Khmau,KH,80.65,broken clouds,11.4833,104.95,Tra Ny Ka Hotel & Restaurant
415,Musafirkhana,IN,88.61,overcast clouds,26.3667,81.8,Suryakant Pandey
418,Eirunepe,BR,79.27,broken clouds,-6.6603,-69.8736,Atrás de você
426,Walvis Bay,,84.25,clear sky,-22.9575,14.5053,Oyster Box Guesthouse
428,Keningau,MY,81.05,moderate rain,5.3378,116.1602,Sabindo Hotel
431,Puerto Barrios,GT,80.15,few clouds,15.7167,-88.6,Hotel El Castillo
432,Sibolga,ID,78.51,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
436,Karwar,IN,79.02,overcast clouds,14.8,74.1333,Netalco Connects
437,Bratsk,RU,77.49,broken clouds,56.1325,101.6142,"Gostinitsa ""Shvedka"""
438,Tiruchchendur,IN,88.48,broken clouds,8.4833,78.1167,Hotel Udhayam International
440,Padang,ID,80.17,few clouds,-0.9492,100.3543,Mercure Padang
445,Oschatz,DE,85.1,overcast clouds,51.3,13.1167,Hotel Gasthaus Zum Schwan
446,Pine Bluff,US,80.71,clear sky,34.2284,-92.0032,"Holiday Inn Express & Suites Pine Bluff/Pines Mall, an IHG Hotel"
448,Sivas,TR,79.43,few clouds,39.7916,37.0019,Sivas Sultan Otel
449,Kargil,IN,80.96,overcast clouds,34.5667,76.1,Caravan Sarai
452,Kahului,US,78.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
454,Lasa,IT,76.91,light rain,46.6166,10.7002,Pension Feldgärtenhof
455,Dunmore East,IE,79.77,few clouds,52.1514,-6.9861,The Strand Inn
456,Neustadt,DE,78.13,scattered clouds,49.7117,12.0872,Ferienwohnung Weiden - Max Wiesent
458,Prudnik,PL,75.72,overcast clouds,50.3212,17.5746,BIAŁA AKACJA Resort & Business
459,San Patricio,US,82.27,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
462,Omboue,GA,80.01,overcast clouds,-1.5746,9.2618,Hotel Olako
463,Halifax,CA,75.52,clear sky,44.6453,-63.5724,Hotel Halifax
465,Faanui,PF,77.92,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
467,Banda Aceh,ID,81.97,overcast clouds,5.5577,95.3222,Sulthan Hotel International
468,Skoghall,SE,79.36,clear sky,59.3232,13.4655,Mörudden Camping & Stugby
470,Alofi,NU,77.04,light rain,-19.0595,-169.9187,Taloa Heights
471,Rach Gia,VN,80.55,scattered clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
479,Ariquemes,BR,84.67,few clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
480,Lamu,KE,80.82,scattered clouds,-2.2717,40.902,Lamu House
481,Wageningen,NL,82.17,broken clouds,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
483,Inhuma,BR,81.88,clear sky,-6.6683,-41.7078,Edifício Bezerra
484,Garissa,KE,87.49,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
486,Tual,ID,80.44,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
487,Svetlogorsk,BY,75.16,broken clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
488,Pachperwa,IN,89.31,overcast clouds,27.5167,82.65,Manglam mairrage haal
495,Winneba,GH,80.44,scattered clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
503,Alenquer,BR,86.34,overcast clouds,-1.9417,-54.7383,Josilene Castro
506,The Valley,AI,85.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
507,Kilindoni,TZ,76.41,clear sky,-7.9139,39.6668,Bustani B&B
509,Boulder City,US,83.05,clear sky,35.9786,-114.8325,Boulder Dam Hotel
510,Lahat,ID,76.21,clear sky,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
511,Oussouye,SN,79.77,overcast clouds,12.485,-16.5469,Auberge du Routard
512,Kieta,PG,78.51,light rain,-6.2167,155.6333,Uruna Bay Retreat
515,Mabaruma,GY,79.27,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
517,Khotyn,UA,82.67,clear sky,48.4833,26.5,"Khotyn, Hotelʹ"
518,Santa Isabel Do Rio Negro,BR,77.67,broken clouds,-0.4139,-65.0192,Hotel GSA
519,Bantry,IE,75.15,clear sky,51.6833,-9.45,The Maritime Hotel
521,Henties Bay,,75.04,clear sky,-22.116,14.2845,Fishermans Guest House
524,Ocos,GT,83.7,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
527,Isawa,JP,77.79,clear sky,35.65,138.6333,旅館 深雪温泉
528,Sabrum,IN,80.15,overcast clouds,23.0,91.7319,shanto Furniture
530,Seoul,KR,84.96,few clouds,37.5683,126.9778,롯데호텔 서울
536,Patharia,IN,78.62,overcast clouds,23.9,79.2,Maraige hool शादी घर पथरिया दमोह
540,Turukhansk,RU,81.41,clear sky,65.8167,87.9833,"ООО ""Туруханская пушнина"""
